sample_id	taxon_id	reads
SRR10484410	1642646	123
SRR10484415	1642646	823
SRR10484421	1642646	462
SRR10484426	1642646	80
SRR10484431	1642646	8
SRR10484432	1642646	66
SRR10484437	1642646	174
SRR10484443	1642646	1152
SRR10484448	1642646	633
SRR10484454	1642646	49
SRR10484459	1642646	124
SRR10484371	1562970	288
SRR10484376	1562970	86
SRR10484377	1562970	703
SRR10484382	1562970	133
SRR10484388	1562970	92
SRR10484393	1562970	116
SRR10484399	1562970	16
SRR10484404	1562970	183
SRR10484410	1562970	46
SRR10484415	1562970	227
SRR10484421	1562970	126
SRR10484426	1562970	1
SRR10484431	1562970	11
SRR10484432	1562970	8
SRR10484437	1562970	9
SRR10484443	1562970	235
SRR10484448	1562970	55
SRR10484454	1562970	9
SRR10484459	1562970	45
SRR10484371	1642647	640
SRR10484376	1642647	99
SRR10484377	1642647	575
SRR10484382	1642647	263
SRR10484388	1642647	158
SRR10484393	1642647	99
SRR10484399	1642647	55
SRR10484404	1642647	400
SRR10484410	1642647	131
SRR10484415	1642647	400
SRR10484421	1642647	409
SRR10484426	1642647	65
SRR10484431	1642647	31
SRR10484432	1642647	15
SRR10484437	1642647	0
SRR10484443	1642647	422
SRR10484448	1642647	501
SRR10484454	1642647	25
SRR10484459	1642647	32
SRR10484371	185300	398
SRR10484376	185300	101
SRR10484377	185300	367
SRR10484382	185300	229
SRR10484388	185300	302
SRR10484393	185300	96
SRR10484399	185300	34
SRR10484404	185300	488
SRR10484410	185300	66
SRR10484415	185300	519
SRR10484421	185300	374
SRR10484426	185300	31
SRR10484431	185300	23
SRR10484432	185300	4
SRR10484437	185300	6
SRR10484443	185300	443
SRR10484448	185300	81
SRR10484454	185300	27
SRR10484459	185300	54
SRR10484371	511435	176
SRR10484376	511435	39
SRR10484377	511435	401
SRR10484382	511435	132
SRR10484388	511435	32
SRR10484393	511435	78
SRR10484399	511435	13
SRR10484404	511435	81
SRR10484410	511435	46
SRR10484415	511435	133
SRR10484421	511435	155
SRR10484426	511435	5
SRR10484431	511435	14
SRR10484432	511435	0
SRR10484437	511435	10
SRR10484443	511435	255
SRR10484448	511435	96
SRR10484454	511435	10
SRR10484459	511435	23
SRR10484371	1400053	100
SRR10484376	1400053	26
SRR10484377	1400053	357
SRR10484382	1400053	410
SRR10484388	1400053	23
SRR10484393	1400053	19
SRR10484399	1400053	12
SRR10484404	1400053	100
SRR10484410	1400053	83
SRR10484415	1400053	150
SRR10484421	1400053	153
SRR10484426	1400053	3
SRR10484431	1400053	2
SRR10484432	1400053	3
SRR10484437	1400053	0
SRR10484443	1400053	155
SRR10484448	1400053	311
SRR10484454	1400053	5
SRR10484459	1400053	22
SRR10484371	1168034	160
SRR10484376	1168034	47
SRR10484377	1168034	136
SRR10484382	1168034	120
SRR10484388	1168034	91
SRR10484393	1168034	56
SRR10484399	1168034	16
SRR10484404	1168034	270
SRR10484410	1168034	36
SRR10484415	1168034	108
SRR10484421	1168034	252
SRR10484426	1168034	24
SRR10484431	1168034	3
SRR10484432	1168034	28
SRR10484437	1168034	1
SRR10484443	1168034	286
SRR10484448	1168034	138
SRR10484454	1168034	13
SRR10484459	1168034	58
SRR10484371	1717717	147
SRR10484376	1717717	4
SRR10484377	1717717	89
SRR10484382	1717717	92
SRR10484388	1717717	59
SRR10484393	1717717	31
SRR10484399	1717717	14
SRR10484404	1717717	79
SRR10484410	1717717	35
SRR10484415	1717717	89
SRR10484421	1717717	85
SRR10484426	1717717	0
SRR10484431	1717717	4
SRR10484432	1717717	1
SRR10484437	1717717	1
SRR10484443	1717717	140
SRR10484448	1717717	43
SRR10484454	1717717	2
SRR10484459	1717717	80
SRR10484371	889453	131
SRR10484376	889453	23
SRR10484377	889453	288
SRR10484382	889453	81
SRR10484388	889453	86
SRR10484393	889453	24
SRR10484399	889453	4
SRR10484404	889453	47
SRR10484410	889453	24
SRR10484415	889453	133
SRR10484421	889453	102
SRR10484426	889453	0
SRR10484431	889453	6
SRR10484432	889453	2
SRR10484437	889453	0
SRR10484443	889453	101
SRR10484448	889453	79
SRR10484454	889453	10
SRR10484459	889453	30
SRR10484371	1307839	23
SRR10484376	1307839	2
SRR10484377	1307839	41
SRR10484382	1307839	41
SRR10484388	1307839	0
SRR10484393	1307839	20
SRR10484399	1307839	3
SRR10484404	1307839	37
SRR10484410	1307839	0
SRR10484415	1307839	79
SRR10484421	1307839	61
SRR10484426	1307839	0
SRR10484431	1307839	2
SRR10484432	1307839	3
SRR10484437	1307839	8
