accession	strain	sample_id	reads
ACH87088.1	Escherichia coli	508_t2	1161
ACH87088.1	Escherichia coli	516_t1	568
ACH87088.1	Escherichia coli	537_t0	1418
ACH87088.1	Escherichia coli	518_t2	3147
ACH87088.1	Escherichia coli	522_t1	704
ACH87088.1	Escherichia coli	524_t1	712
ACH87088.1	Escherichia coli	522_t0	957
ACH87088.1	Escherichia coli	538_t0	976
ACH87088.1	Escherichia coli	510_t3	530
ACH87088.1	Escherichia coli	510_t1	420
ACH87088.1	Escherichia coli	528_t0	1104
ACH87088.1	Escherichia coli	534_t3	1121
ACH87088.1	Escherichia coli	523_t3	17
ACH87088.1	Escherichia coli	511_t1	764
ACH87088.1	Escherichia coli	518_t0	742
ACH87088.1	Escherichia coli	523_t0	661
ACH87088.1	Escherichia coli	524_t0	922
ACH87088.1	Escherichia coli	528_t2	450
ACH87088.1	Escherichia coli	508_t1	859
ACH87088.1	Escherichia coli	510_t0	675
ACH87088.1	Escherichia coli	507_t1	578
ACH87088.1	Escherichia coli	519_t3	942
ACH87088.1	Escherichia coli	510_t2	477
ACH87088.1	Escherichia coli	532_t0	418
ACH87088.1	Escherichia coli	534_t1	1213
ACH87088.1	Escherichia coli	511_t0	983
ACH87088.1	Escherichia coli	508_t3	715
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	508_t0	1445
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	519_t2	849
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	524_t3	2319
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	522_t3	2022
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	518_t3	2426
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	504_t1	885
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	517_t3	3864
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	519_t1	1561
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	519_t0	1938
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	507_t0	1416
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	517_t2	3482
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	506_t2	1167
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	538_t2	1014
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	528_t1	1145
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	504_t3	2090
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	517_t0	3053
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	537_t1	1437
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	505_t0	495
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	537_t3	1717
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	512_t0	6231
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	532_t3	3020
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	505_t3	2606
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	506_t3	1315
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	516_t3	3017
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	516_t2	1508
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	524_t2	3796
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	534_t2	1697
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	512_t1	6261
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	523_t1	1929
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	538_t3	3754
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	506_t1	877
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	523_t2	665
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	511_t2	713
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	512_t3	898
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	511_t3	361
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	504_t0	1796
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	505_t2	793
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	538_t1	1443
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	532_t2	2284
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	518_t1	1941
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	505_t1	688
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	512_t2	1129
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	507_t3	1794
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	516_t0	1401
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	532_t1	2982
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	522_t2	1500
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	504_t2	903
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	507_t2	1423
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	528_t3	924
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	534_t0	1442
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	537_t2	1250
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	506_t0	1321
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	517_t1	3231
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	508_t2	1002
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	516_t1	1298
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	537_t0	2131
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	518_t2	965
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	522_t1	1386
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	524_t1	3450
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	522_t0	1242
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	538_t0	2419
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	510_t3	2422
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	510_t1	1262
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	528_t0	928
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	534_t3	1393
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	523_t3	24
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	511_t1	2793
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	518_t0	1582
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	523_t0	1728
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	524_t0	2863
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	528_t2	1476
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	508_t1	1291
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	510_t0	1611
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	507_t1	1077
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	519_t3	1644
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	510_t2	1445
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	532_t0	1376
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	534_t1	2455
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	511_t0	2234
AAC76298.1	Escherichia coli str. K-12 substr. MG1655	508_t3	707
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	508_t0	4352
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	519_t2	6794
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	524_t3	6895
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	522_t3	5825
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	518_t3	5336
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	504_t1	4761
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	517_t3	4397
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	519_t1	8132
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	519_t0	5927
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	507_t0	5835
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	517_t2	4295
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	506_t2	5191
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	538_t2	1807
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	528_t1	5979
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	504_t3	2996
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	517_t0	4452
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	537_t1	5124
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	505_t0	7127
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	537_t3	2905
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	512_t0	15486
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	532_t3	8554
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	505_t3	4907
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	506_t3	4803
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	516_t3	5500
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	516_t2	7749
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	524_t2	6529
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	534_t2	5841
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	512_t1	9008
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	523_t1	9204
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	538_t3	3161
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	506_t1	5300
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	523_t2	3470
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	511_t2	8042
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	512_t3	1550
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	511_t3	2369
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	504_t0	6063
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	505_t2	8532
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	538_t1	2242
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	532_t2	6570
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	518_t1	6297
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	505_t1	7910
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	512_t2	3296
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	507_t3	5477
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	516_t0	4122
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	532_t1	7185
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	522_t2	6962
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	504_t2	3090
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	507_t2	2513
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	528_t3	1629
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	534_t0	7653
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	537_t2	2321
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	506_t0	5096
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	517_t1	6031
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	508_t2	5632
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	516_t1	4404
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	537_t0	6401
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	518_t2	13964
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	522_t1	4491
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	524_t1	5903
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	522_t0	6631
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	538_t0	3935
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	510_t3	6669
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	510_t1	4418
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	528_t0	5616
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	534_t3	5612
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	523_t3	46
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	511_t1	8095
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	518_t0	6651
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	523_t0	7073
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	524_t0	6096
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	528_t2	1787
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	508_t1	5528
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	510_t0	8010
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	507_t1	3032
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	519_t3	2978
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	510_t2	4628
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	532_t0	4579
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	534_t1	8203
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	511_t0	6882
AAC74000.1	Escherichia coli str. K-12 substr. MG1655	508_t3	2856
AAV85982.1	Neisseria gonorrhoeae	508_t0	9170
AAV85982.1	Neisseria gonorrhoeae	519_t2	10845
AAV85982.1	Neisseria gonorrhoeae	524_t3	10866
AAV85982.1	Neisseria gonorrhoeae	522_t3	13236
AAV85982.1	Neisseria gonorrhoeae	518_t3	13834
AAV85982.1	Neisseria gonorrhoeae	504_t1	8913
AAV85982.1	Neisseria gonorrhoeae	517_t3	17371
AAV85982.1	Neisseria gonorrhoeae	519_t1	12265
AAV85982.1	Neisseria gonorrhoeae	519_t0	11082
AAV85982.1	Neisseria gonorrhoeae	507_t0	9608
AAV85982.1	Neisseria gonorrhoeae	517_t2	15504
AAV85982.1	Neisseria gonorrhoeae	506_t2	9585
AAV85982.1	Neisseria gonorrhoeae	538_t2	5370
AAV85982.1	Neisseria gonorrhoeae	528_t1	11480
AAV85982.1	Neisseria gonorrhoeae	504_t3	7827
AAV85982.1	Neisseria gonorrhoeae	517_t0	10893
AAV85982.1	Neisseria gonorrhoeae	537_t1	9269
AAV85982.1	Neisseria gonorrhoeae	505_t0	12143
AAV85982.1	Neisseria gonorrhoeae	537_t3	9421
AAV85982.1	Neisseria gonorrhoeae	512_t0	18218
AAV85982.1	Neisseria gonorrhoeae	532_t3	13252
AAV85982.1	Neisseria gonorrhoeae	505_t3	13734
AAV85982.1	Neisseria gonorrhoeae	506_t3	9565
AAV85982.1	Neisseria gonorrhoeae	516_t3	12455
AAV85982.1	Neisseria gonorrhoeae	516_t2	14881
AAV85982.1	Neisseria gonorrhoeae	524_t2	14854
AAV85982.1	Neisseria gonorrhoeae	534_t2	11358
AAV85982.1	Neisseria gonorrhoeae	512_t1	10864
AAV85982.1	Neisseria gonorrhoeae	523_t1	12785
AAV85982.1	Neisseria gonorrhoeae	538_t3	11045
AAV85982.1	Neisseria gonorrhoeae	506_t1	9809
AAV85982.1	Neisseria gonorrhoeae	523_t2	6587
AAV85982.1	Neisseria gonorrhoeae	511_t2	16718
AAV85982.1	Neisseria gonorrhoeae	512_t3	2978
AAV85982.1	Neisseria gonorrhoeae	511_t3	5669
AAV85982.1	Neisseria gonorrhoeae	504_t0	10386
AAV85982.1	Neisseria gonorrhoeae	505_t2	11640
AAV85982.1	Neisseria gonorrhoeae	538_t1	7941
AAV85982.1	Neisseria gonorrhoeae	532_t2	9779
AAV85982.1	Neisseria gonorrhoeae	518_t1	10212
AAV85982.1	Neisseria gonorrhoeae	505_t1	10783
AAV85982.1	Neisseria gonorrhoeae	512_t2	5415
AAV85982.1	Neisseria gonorrhoeae	507_t3	9906
AAV85982.1	Neisseria gonorrhoeae	516_t0	8205
AAV85982.1	Neisseria gonorrhoeae	532_t1	12977
AAV85982.1	Neisseria gonorrhoeae	522_t2	13273
AAV85982.1	Neisseria gonorrhoeae	504_t2	8018
AAV85982.1	Neisseria gonorrhoeae	507_t2	7736
AAV85982.1	Neisseria gonorrhoeae	528_t3	6560
AAV85982.1	Neisseria gonorrhoeae	534_t0	11589
AAV85982.1	Neisseria gonorrhoeae	537_t2	6548
AAV85982.1	Neisseria gonorrhoeae	506_t0	9032
AAV85982.1	Neisseria gonorrhoeae	517_t1	13547
AAV85982.1	Neisseria gonorrhoeae	508_t2	16095
AAV85982.1	Neisseria gonorrhoeae	516_t1	9451
AAV85982.1	Neisseria gonorrhoeae	537_t0	13446
AAV85982.1	Neisseria gonorrhoeae	518_t2	19228
AAV85982.1	Neisseria gonorrhoeae	522_t1	9316
AAV85982.1	Neisseria gonorrhoeae	524_t1	13051
AAV85982.1	Neisseria gonorrhoeae	522_t0	11899
AAV85982.1	Neisseria gonorrhoeae	538_t0	11040
AAV85982.1	Neisseria gonorrhoeae	510_t3	9425
AAV85982.1	Neisseria gonorrhoeae	510_t1	8820
AAV85982.1	Neisseria gonorrhoeae	528_t0	10929
AAV85982.1	Neisseria gonorrhoeae	534_t3	10587
AAV85982.1	Neisseria gonorrhoeae	523_t3	176
AAV85982.1	Neisseria gonorrhoeae	511_t1	13725
AAV85982.1	Neisseria gonorrhoeae	518_t0	12218
AAV85982.1	Neisseria gonorrhoeae	523_t0	11782
AAV85982.1	Neisseria gonorrhoeae	524_t0	13064
AAV85982.1	Neisseria gonorrhoeae	528_t2	8210
AAV85982.1	Neisseria gonorrhoeae	508_t1	11741
AAV85982.1	Neisseria gonorrhoeae	510_t0	11942
AAV85982.1	Neisseria gonorrhoeae	507_t1	7725
AAV85982.1	Neisseria gonorrhoeae	519_t3	14110
AAV85982.1	Neisseria gonorrhoeae	510_t2	8245
AAV85982.1	Neisseria gonorrhoeae	532_t0	7160
AAV85982.1	Neisseria gonorrhoeae	534_t1	16936
AAV85982.1	Neisseria gonorrhoeae	511_t0	13454
AAV85982.1	Neisseria gonorrhoeae	508_t3	9053
AAO47226.2	Streptomyces rishiriensis	508_t0	4553
AAO47226.2	Streptomyces rishiriensis	519_t2	11283
AAO47226.2	Streptomyces rishiriensis	524_t3	5072
AAO47226.2	Streptomyces rishiriensis	522_t3	8904
AAO47226.2	Streptomyces rishiriensis	518_t3	8797
AAO47226.2	Streptomyces rishiriensis	504_t1	7322
AAO47226.2	Streptomyces rishiriensis	517_t3	6022
AAO47226.2	Streptomyces rishiriensis	519_t1	12798
AAO47226.2	Streptomyces rishiriensis	519_t0	8994
AAO47226.2	Streptomyces rishiriensis	507_t0	8166
AAO47226.2	Streptomyces rishiriensis	517_t2	5190
AAO47226.2	Streptomyces rishiriensis	506_t2	6196
AAO47226.2	Streptomyces rishiriensis	538_t2	5156
AAO47226.2	Streptomyces rishiriensis	528_t1	9576
AAO47226.2	Streptomyces rishiriensis	504_t3	4629
AAO47226.2	Streptomyces rishiriensis	517_t0	5647
AAO47226.2	Streptomyces rishiriensis	537_t1	5916
AAO47226.2	Streptomyces rishiriensis	505_t0	7722
AAO47226.2	Streptomyces rishiriensis	537_t3	4212
AAO47226.2	Streptomyces rishiriensis	512_t0	15934
AAO47226.2	Streptomyces rishiriensis	532_t3	6403
AAO47226.2	Streptomyces rishiriensis	505_t3	6819
AAO47226.2	Streptomyces rishiriensis	506_t3	4491
AAO47226.2	Streptomyces rishiriensis	516_t3	7593
AAO47226.2	Streptomyces rishiriensis	516_t2	13203
AAO47226.2	Streptomyces rishiriensis	524_t2	6345
AAO47226.2	Streptomyces rishiriensis	534_t2	6251
AAO47226.2	Streptomyces rishiriensis	512_t1	8759
AAO47226.2	Streptomyces rishiriensis	523_t1	9685
AAO47226.2	Streptomyces rishiriensis	538_t3	4818
AAO47226.2	Streptomyces rishiriensis	506_t1	5720
AAO47226.2	Streptomyces rishiriensis	523_t2	5021
AAO47226.2	Streptomyces rishiriensis	511_t2	16793
AAO47226.2	Streptomyces rishiriensis	512_t3	1640
AAO47226.2	Streptomyces rishiriensis	511_t3	4642
AAO47226.2	Streptomyces rishiriensis	504_t0	8040
AAO47226.2	Streptomyces rishiriensis	505_t2	9359
AAO47226.2	Streptomyces rishiriensis	538_t1	4929
AAO47226.2	Streptomyces rishiriensis	532_t2	4963
AAO47226.2	Streptomyces rishiriensis	518_t1	6625
AAO47226.2	Streptomyces rishiriensis	505_t1	9018
AAO47226.2	Streptomyces rishiriensis	512_t2	3805
AAO47226.2	Streptomyces rishiriensis	507_t3	5572
AAO47226.2	Streptomyces rishiriensis	516_t0	5882
AAO47226.2	Streptomyces rishiriensis	532_t1	6712
AAO47226.2	Streptomyces rishiriensis	522_t2	10685
AAO47226.2	Streptomyces rishiriensis	504_t2	5472
AAO47226.2	Streptomyces rishiriensis	507_t2	3681
AAO47226.2	Streptomyces rishiriensis	528_t3	2849
AAO47226.2	Streptomyces rishiriensis	534_t0	8687
AAO47226.2	Streptomyces rishiriensis	537_t2	3837
AAO47226.2	Streptomyces rishiriensis	506_t0	6375
AAO47226.2	Streptomyces rishiriensis	517_t1	7317
AAO47226.2	Streptomyces rishiriensis	508_t2	10831
AAO47226.2	Streptomyces rishiriensis	516_t1	7768
AAO47226.2	Streptomyces rishiriensis	537_t0	8704
AAO47226.2	Streptomyces rishiriensis	518_t2	15466
AAO47226.2	Streptomyces rishiriensis	522_t1	7238
AAO47226.2	Streptomyces rishiriensis	524_t1	5687
AAO47226.2	Streptomyces rishiriensis	522_t0	9257
AAO47226.2	Streptomyces rishiriensis	538_t0	6174
AAO47226.2	Streptomyces rishiriensis	510_t3	7844
AAO47226.2	Streptomyces rishiriensis	510_t1	5379
AAO47226.2	Streptomyces rishiriensis	528_t0	8483
AAO47226.2	Streptomyces rishiriensis	534_t3	6498
AAO47226.2	Streptomyces rishiriensis	523_t3	97
AAO47226.2	Streptomyces rishiriensis	511_t1	11237
AAO47226.2	Streptomyces rishiriensis	518_t0	7072
AAO47226.2	Streptomyces rishiriensis	523_t0	7669
AAO47226.2	Streptomyces rishiriensis	524_t0	8089
AAO47226.2	Streptomyces rishiriensis	528_t2	3355
AAO47226.2	Streptomyces rishiriensis	508_t1	6132
AAO47226.2	Streptomyces rishiriensis	510_t0	8611
AAO47226.2	Streptomyces rishiriensis	507_t1	4170
AAO47226.2	Streptomyces rishiriensis	519_t3	6367
AAO47226.2	Streptomyces rishiriensis	510_t2	5522
AAO47226.2	Streptomyces rishiriensis	532_t0	4752
AAO47226.2	Streptomyces rishiriensis	534_t1	9310
AAO47226.2	Streptomyces rishiriensis	511_t0	10368
AAO47226.2	Streptomyces rishiriensis	508_t3	5732
AAK76137.1	Streptococcus pneumoniae TIGR4	508_t0	749
AAK76137.1	Streptococcus pneumoniae TIGR4	519_t2	3406
AAK76137.1	Streptococcus pneumoniae TIGR4	524_t3	765
AAK76137.1	Streptococcus pneumoniae TIGR4	522_t3	1278
AAK76137.1	Streptococcus pneumoniae TIGR4	518_t3	1749
AAK76137.1	Streptococcus pneumoniae TIGR4	504_t1	1771
AAK76137.1	Streptococcus pneumoniae TIGR4	517_t3	190
AAK76137.1	Streptococcus pneumoniae TIGR4	519_t1	3276
AAK76137.1	Streptococcus pneumoniae TIGR4	519_t0	1769
AAK76137.1	Streptococcus pneumoniae TIGR4	507_t0	1366
AAK76137.1	Streptococcus pneumoniae TIGR4	517_t2	236
AAK76137.1	Streptococcus pneumoniae TIGR4	506_t2	1460
AAK76137.1	Streptococcus pneumoniae TIGR4	538_t2	1003
AAK76137.1	Streptococcus pneumoniae TIGR4	528_t1	2696
AAK76137.1	Streptococcus pneumoniae TIGR4	504_t3	430
AAK76137.1	Streptococcus pneumoniae TIGR4	517_t0	218
AAK76137.1	Streptococcus pneumoniae TIGR4	537_t1	1358
AAK76137.1	Streptococcus pneumoniae TIGR4	505_t0	1529
AAK76137.1	Streptococcus pneumoniae TIGR4	537_t3	118
AAK76137.1	Streptococcus pneumoniae TIGR4	512_t0	4140
AAK76137.1	Streptococcus pneumoniae TIGR4	532_t3	1055
AAK76137.1	Streptococcus pneumoniae TIGR4	505_t3	558
AAK76137.1	Streptococcus pneumoniae TIGR4	506_t3	807
AAK76137.1	Streptococcus pneumoniae TIGR4	516_t3	739
AAK76137.1	Streptococcus pneumoniae TIGR4	516_t2	2285
AAK76137.1	Streptococcus pneumoniae TIGR4	524_t2	457
AAK76137.1	Streptococcus pneumoniae TIGR4	534_t2	745
AAK76137.1	Streptococcus pneumoniae TIGR4	512_t1	2300
AAK76137.1	Streptococcus pneumoniae TIGR4	523_t1	3000
AAK76137.1	Streptococcus pneumoniae TIGR4	538_t3	58
AAK76137.1	Streptococcus pneumoniae TIGR4	506_t1	1481
AAK76137.1	Streptococcus pneumoniae TIGR4	523_t2	1448
AAK76137.1	Streptococcus pneumoniae TIGR4	511_t2	5433
AAK76137.1	Streptococcus pneumoniae TIGR4	512_t3	295
AAK76137.1	Streptococcus pneumoniae TIGR4	511_t3	1159
AAK76137.1	Streptococcus pneumoniae TIGR4	504_t0	1869
AAK76137.1	Streptococcus pneumoniae TIGR4	505_t2	2535
AAK76137.1	Streptococcus pneumoniae TIGR4	538_t1	66
AAK76137.1	Streptococcus pneumoniae TIGR4	532_t2	699
AAK76137.1	Streptococcus pneumoniae TIGR4	518_t1	1020
AAK76137.1	Streptococcus pneumoniae TIGR4	505_t1	2803
AAK76137.1	Streptococcus pneumoniae TIGR4	512_t2	1013
AAK76137.1	Streptococcus pneumoniae TIGR4	507_t3	695
AAK76137.1	Streptococcus pneumoniae TIGR4	516_t0	1271
AAK76137.1	Streptococcus pneumoniae TIGR4	532_t1	862
AAK76137.1	Streptococcus pneumoniae TIGR4	522_t2	3055
AAK76137.1	Streptococcus pneumoniae TIGR4	504_t2	1259
AAK76137.1	Streptococcus pneumoniae TIGR4	507_t2	80
AAK76137.1	Streptococcus pneumoniae TIGR4	528_t3	315
AAK76137.1	Streptococcus pneumoniae TIGR4	534_t0	2168
AAK76137.1	Streptococcus pneumoniae TIGR4	537_t2	701
